iter	Passed	Remaining
0	287	287581
1	543	271007
2	791	263077
3	1033	257248
4	1309	260569
5	1551	257052
6	1781	252672
7	2055	254844
8	2284	251543
9	2511	248659
10	2736	246068
11	2976	245053
12	3210	243745
13	3450	243032
14	3660	240405
15	3856	237151
16	4047	234063
17	4235	231059
18	4414	227948
19	4601	225465
20	4837	225517
21	5030	223639
22	5218	221664
23	5402	219682
24	5585	217844
25	5774	216307
26	5957	214687
27	6142	213234
28	6333	212052
29	6519	210797
30	6707	209676
31	6889	208410
32	7072	207255
33	7257	206194
34	7440	205136
35	7623	204150
36	7810	203274
37	7991	202316
38	8174	201428
39	8358	200596
40	8540	199755
41	8726	199050
42	8909	198298
43	9092	197560
44	9276	196861
45	9457	196142
46	9640	195485
47	9824	194858
48	10004	194175
49	10188	193583
50	10375	193074
51	10558	192491
52	10744	191981
53	10929	191468
54	11111	190923
55	11298	190452
56	11481	189956
57	11666	189479
58	11851	189023
59	12035	188549
60	12221	188130
61	12403	187645
62	12586	187195
63	12768	186741
64	13006	187090
65	13220	187088
66	13408	186717
67	13591	186277
68	13817	186438
69	14001	186020
70	14186	185624
71	14379	185330
72	14573	185065
73	14759	184698
74	14947	184350
75	15132	183977
76	15328	183747
77	15516	183409
78	15695	182980
79	15878	182599
80	16062	182241
81	16242	181837
82	16428	181507
83	16610	181132
84	16799	180844
85	16983	180494
86	17164	180130
87	17349	179799
88	17533	179468
89	17716	179129
90	17898	178783
91	18082	178470
92	18265	178136
93	18449	177817
94	18636	177537
95	18818	177212
96	19003	176905
97	19185	176581
98	19369	176281
99	19554	175987
100	19797	176218
101	20014	176204
102	20204	175957
103	20391	175679
104	20586	175473
105	20781	175271
106	20986	175147
107	21171	174863
108	21352	174543
109	21545	174324
110	21761	174289
111	21943	173980
112	22135	173750
113	22316	173442
114	22497	173136
115	22683	172860
116	22862	172543
117	23046	172262
118	23228	171967
119	23408	171661
120	23591	171382
121	23776	171113
122	23958	170823
123	24146	170580
124	24328	170301
125	24516	170058
126	24709	169853
127	24891	169572
128	25074	169301
129	25261	169055
130	25442	168777
131	25625	168507
